,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
623,Firm-Teacher_Clave-Direction_Classification,Multivariate,Classification,,10800,20,2015
625,Dataset for Sensorless Drive Diagnosis,Multivariate,Classification,Real,58509,49,2015
627,TV News Channel Commercial Detection Dataset,Multivariate,"Classification, Clustering",Real,129685,12,2015
629,Phishing Websites,,Classification,Integer,2456,30,2015
631,Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,2921,5232,2015
633,Diabetic Retinopathy Debrecen Data Set,Multivariate,Classification,"Integer, Real",1151,20,2014
635,HIV-1 protease cleavage,Multivariate,Classification,Categorical,6590,1,2015
637,Sentiment Labelled Sentences,Text,Classification,,3000,,2015
639,Online News Popularity,Multivariate,"Classification, Regression","Integer, Real",39797,61,2015
641,Forest type mapping,Multivariate,Classification,,326,27,2015
643,wiki4HE,Multivariate,"Regression, Clustering, Causal-Discovery",,913,53,2015
645,Online Video Characteristics and Transcoding Time Dataset,Multivariate,Regression,"Integer, Real",168286,11,2015
647,Chronic_Kidney_Disease,Multivariate,Classification,Real,400,25,2015
649,Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series",Classification,Real,314080,0,2015
651,Folio,Multivariate,"Classification, Clustering",,637,20,2015
653,"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory","Clustering, Causal-Discovery",Real,1710671,9,2015
655,Cuff-Less Blood Pressure Estimation,Multivariate,"Classification, Regression",Real,12000,3,2015
657,Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series",Classification,Real,10929,561,2015
659,Mice Protein Expression,Multivariate,"Classification, Clustering",Real,1080,82,2015
661,UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",40000,13,2015
663,Heterogeneity Activity Recognition,"Multivariate, Time-Series","Classification, Clustering",Real,43930257,16,2015
665,Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,230318,13,2015
667,HEPMASS,Multivariate,Classification,Real,10500000,28,2016
669,Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series",Classification,Real,13197,4,2016
671,Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,,,2015
673,default of credit card clients,Multivariate,Classification,"Integer, Real",30000,24,2016
675,Mesothelioma’s disease data set,Multivariate,Classification,Real,324,34,2016
677,Online Retail,"Multivariate, Sequential, Time-Series","Classification, Clustering","Integer, Real",541909,8,2015
679,SIFT10M,Multivariate,Causal-Discovery,Integer,11164866,128,2016
681,GPS Trajectories,Multivariate,"Classification, Regression",Real,163,15,2016
683,Detect Malacious Executable(AntiVirus),Multivariate,Classification,Real,373,513,2016
685,Occupancy Detection,"Multivariate, Time-Series",Classification,Real,20560,7,2016
687,Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease,Multivariate,"Classification, Regression, Clustering",Real,40,7,2016
689,News Aggregator,Multivariate,"Classification, Clustering",,422937,5,2016
691,Air Quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016
693,Twin gas sensor arrays,"Multivariate, Time-Series, Domain-Theory","Classification, Regression",Real,640,480000,2016
695,Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,919438,11,2016
697,Facebook Comment Volume Dataset,Multivariate,Regression,"Integer, Real",40949,54,2016
699,Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),Time-Series,Classification,Real,5744,561,2016
701,Polish companies bankruptcy data,Multivariate,Classification,Real,10503,64,2016
703,Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series",Classification,Real,42240,6,2016
705,Dota2 Games Results,Multivariate,Classification,,102944,116,2016
707,Facebook metrics,Multivariate,Regression,Integer,500,19,2016
709,UbiqLog (smartphone lifelogging),Multivariate,Causal-Discovery,,9782222,,2016
711,NIPS Conference Papers 1987-2015,Text,Clustering,Integer,11463,5812,2016
713,HTRU2,Multivariate,"Classification, Clustering",Real,17898,9,2017
